                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.00247,                0.98971,                0.99848,                 2.6131,               0.003268,               0.003268,               0.003268
                     70,                0.00299,                0.98971,                0.99848,                 2.6132,               0.003169,               0.003169,               0.003169
                     71,                0.00256,                0.98933,                0.99848,                 2.6137,                0.00307,                0.00307,                0.00307
                     72,                0.00273,                0.98933,                0.99848,                 2.6139,               0.002971,               0.002971,               0.002971
                     73,                0.00632,                0.98895,                0.99848,                 2.6143,               0.002872,               0.002872,               0.002872
                     74,                0.03845,                0.98895,                0.99848,                 2.6144,               0.002773,               0.002773,               0.002773
                     75,                0.03272,                0.99048,                0.99848,                 2.6141,               0.002674,               0.002674,               0.002674
                     76,                0.01352,                0.98971,                0.99848,                  2.614,               0.002575,               0.002575,               0.002575
                     77,                0.00676,                 0.9901,                0.99848,                 2.6137,               0.002476,               0.002476,               0.002476
                     78,                0.00411,                 0.9901,                0.99848,                 2.6134,               0.002377,               0.002377,               0.002377
                     79,                0.00255,                0.98971,                0.99848,                 2.6133,               0.002278,               0.002278,               0.002278
                     80,                0.00204,                0.98971,                0.99848,                 2.6134,               0.002179,               0.002179,               0.002179
                     81,                0.00196,                 0.9901,                0.99886,                 2.6133,                0.00208,                0.00208,                0.00208
