                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3577,                0.51733,                0.79543,                 3.0284,              0.0033327,              0.0033327,              0.0033327
                      1,                0.45277,                0.89295,                0.98057,                 2.7339,                 0.0066,                 0.0066,                 0.0066
                      2,                0.19281,                0.95467,                0.99543,                 2.6591,              0.0098014,              0.0098014,              0.0098014
                      3,                0.13502,                0.97371,                0.99848,                 2.6363,               0.009703,               0.009703,               0.009703
                      4,                0.09708,                0.98019,                0.99886,                 2.6279,               0.009703,               0.009703,               0.009703
                      5,                0.07944,                0.98362,                0.99848,                 2.6229,               0.009604,               0.009604,               0.009604
                      6,                0.06795,                0.98705,                 0.9981,                   2.62,               0.009505,               0.009505,               0.009505
                      7,                0.06111,                0.98895,                 0.9981,                 2.6178,               0.009406,               0.009406,               0.009406
                      8,                0.05766,                0.98857,                0.99886,                 2.6163,               0.009307,               0.009307,               0.009307
                      9,                0.05562,                0.98971,                0.99886,                 2.6158,               0.009208,               0.009208,               0.009208
                     10,                0.05312,                 0.9901,                0.99848,                 2.6154,               0.009109,               0.009109,               0.009109
                     11,                0.05043,                0.99162,                0.99848,                 2.6155,                0.00901,                0.00901,                0.00901
                     12,                 0.0478,                0.99162,                0.99848,                 2.6152,               0.008911,               0.008911,               0.008911
                     13,                0.04599,                0.99162,                0.99848,                 2.6149,               0.008812,               0.008812,               0.008812
                     14,                0.04633,                0.99162,                0.99848,                 2.6146,               0.008713,               0.008713,               0.008713
                     15,                0.04296,                0.99162,                0.99848,                 2.6146,               0.008614,               0.008614,               0.008614
                     16,                0.04284,                0.99124,                0.99848,                 2.6145,               0.008515,               0.008515,               0.008515
                     17,                0.04164,                0.99086,                0.99848,                 2.6144,               0.008416,               0.008416,               0.008416
                     18,                  0.039,                0.99162,                0.99848,                 2.6144,               0.008317,               0.008317,               0.008317
                     19,                0.03893,                0.99162,                0.99848,                 2.6142,               0.008218,               0.008218,               0.008218
                     20,                 0.0378,                0.99124,                0.99886,                 2.6143,               0.008119,               0.008119,               0.008119
                     21,                0.03436,                  0.992,                0.99848,                 2.6141,                0.00802,                0.00802,                0.00802
                     22,                0.03491,                0.99238,                0.99886,                 2.6141,               0.007921,               0.007921,               0.007921
                     23,                0.03623,                0.99162,                0.99886,                 2.6142,               0.007822,               0.007822,               0.007822
                     24,                0.03352,                0.99162,                0.99886,                 2.6141,               0.007723,               0.007723,               0.007723
                     25,                0.03235,                0.99162,                0.99886,                 2.6141,               0.007624,               0.007624,               0.007624
                     26,                0.03102,                  0.992,                0.99886,                 2.6141,               0.007525,               0.007525,               0.007525
                     27,                0.02993,                0.99238,                0.99886,                 2.6141,               0.007426,               0.007426,               0.007426
                     28,                0.03037,                  0.992,                0.99886,                 2.6138,               0.007327,               0.007327,               0.007327
                     29,                0.03035,                0.99162,                0.99886,                 2.6137,               0.007228,               0.007228,               0.007228
                     30,                0.03111,                0.99238,                0.99886,                 2.6136,               0.007129,               0.007129,               0.007129
                     31,                0.02784,                0.99238,                0.99886,                 2.6134,                0.00703,                0.00703,                0.00703
                     32,                0.02576,                0.99162,                0.99886,                 2.6135,               0.006931,               0.006931,               0.006931
                     33,                0.02524,                0.99124,                0.99886,                 2.6134,               0.006832,               0.006832,               0.006832
                     34,                0.02527,                0.99162,                0.99886,                 2.6132,               0.006733,               0.006733,               0.006733
                     35,                0.02526,                  0.992,                0.99886,                 2.6133,               0.006634,               0.006634,               0.006634
                     36,                0.02314,                0.99124,                0.99886,                 2.6133,               0.006535,               0.006535,               0.006535
                     37,                0.02374,                0.99086,                0.99886,                 2.6132,               0.006436,               0.006436,               0.006436
                     38,                0.02318,                0.99086,                0.99924,                 2.6133,               0.006337,               0.006337,               0.006337
                     39,                0.02339,                0.99048,                0.99886,                 2.6133,               0.006238,               0.006238,               0.006238
                     40,                0.02026,                0.99048,                0.99886,                 2.6132,               0.006139,               0.006139,               0.006139
                     41,                 0.0218,                0.99048,                0.99886,                 2.6131,                0.00604,                0.00604,                0.00604
                     42,                0.02162,                 0.9901,                0.99886,                 2.6132,               0.005941,               0.005941,               0.005941
                     43,                0.02141,                0.99124,                0.99886,                 2.6131,               0.005842,               0.005842,               0.005842
                     44,                0.01978,                0.99124,                0.99886,                  2.613,               0.005743,               0.005743,               0.005743
                     45,                0.01801,                0.99124,                0.99886,                  2.613,               0.005644,               0.005644,               0.005644
                     46,                0.01807,                0.99124,                0.99886,                  2.613,               0.005545,               0.005545,               0.005545
                     47,                0.01787,                0.99048,                0.99886,                 2.6129,               0.005446,               0.005446,               0.005446
                     48,                0.01739,                0.99124,                0.99886,                 2.6129,               0.005347,               0.005347,               0.005347
                     49,                0.01858,                0.99124,                0.99886,                 2.6127,               0.005248,               0.005248,               0.005248
                     50,                0.01814,                0.99162,                0.99886,                 2.6127,               0.005149,               0.005149,               0.005149
                     51,                0.01649,                0.99124,                0.99848,                 2.6126,                0.00505,                0.00505,                0.00505
                     52,                0.01457,                0.99048,                0.99848,                 2.6126,               0.004951,               0.004951,               0.004951
                     53,                0.01538,                0.99124,                0.99886,                 2.6125,               0.004852,               0.004852,               0.004852
                     54,                0.01361,                0.99162,                0.99924,                 2.6124,               0.004753,               0.004753,               0.004753
                     55,                0.01075,                0.99124,                0.99886,                 2.6124,               0.004654,               0.004654,               0.004654
                     56,                0.01085,                0.99048,                0.99924,                 2.6126,               0.004555,               0.004555,               0.004555
                     57,                0.01174,                0.99124,                0.99924,                 2.6123,               0.004456,               0.004456,               0.004456
                     58,                 0.0146,                0.99086,                0.99924,                 2.6124,               0.004357,               0.004357,               0.004357
                     59,                 0.0146,                0.99048,                0.99886,                 2.6122,               0.004258,               0.004258,               0.004258
                     60,                0.01475,                0.99048,                0.99848,                 2.6123,               0.004159,               0.004159,               0.004159
                     61,                0.01145,                 0.9901,                0.99848,                 2.6123,                0.00406,                0.00406,                0.00406
                     62,                0.00757,                 0.9901,                0.99848,                 2.6122,               0.003961,               0.003961,               0.003961
                     63,                 0.0064,                 0.9901,                0.99848,                 2.6123,               0.003862,               0.003862,               0.003862
                     64,                0.00571,                0.98971,                0.99848,                 2.6125,               0.003763,               0.003763,               0.003763
                     65,                 0.0046,                 0.9901,                0.99848,                 2.6124,               0.003664,               0.003664,               0.003664
                     66,                0.00411,                 0.9901,                0.99848,                 2.6126,               0.003565,               0.003565,               0.003565
                     67,                0.00293,                 0.9901,                0.99848,                 2.6126,               0.003466,               0.003466,               0.003466
                     68,                0.00261,                 0.9901,                0.99848,                 2.6128,               0.003367,               0.003367,               0.003367
